,country,year,kind,title,sid
29210,Japan,2011,TV Show,SKE48's Magical Radio Season 1,27937
29211,Japan,2012,TV Show,SKE48's Magical Radio Season 2,27944
29212,Japan,2018,TV Show,STU48 no Setobingo!,24944
29213,Japan,1985,Drama,Sukeban Deka Season 2: Shojo Tekkamen Densetsu,10039
29214,Japan,1988,Movie,Sukeban Deka The Movie II: Counter-Attack from the Kazama Sisters,13004
29241,Japan,2008,Movie,Oppai Chanbara: Striptease Samurai Squad,13863
29242,Japan,2005,Movie,Samurai Commando - Mission 1549,7088
29243,Japan,1984,Movie,Tragedy of W,13966
29253,Japan,2012,Drama Special,20nen-go no Kimi e,4456
29254,Japan,2017,Drama Special,Ai wo Kou Hito,16045
29255,Japan,2019,Drama Special,Boku ga Warau to,25493
29256,Japan,2016,Drama Special,Boku no Inochi,14555
29257,Japan,2020,Drama,Ichiokuen no Sayonara,34289
29258,Japan,2013,Drama,Kazoku no Urajijo,7475
29259,Japan,2010,Drama,Keishicho Shissonin Sosaka,17498
29260,Japan,2021,Drama,Kinkyu Torishirabeshitsu 4,41229
29261,Japan,2022,Drama Special,Kinkyu Torishirabeshitsu Special 2022,44526
29262,Japan,2014,Drama Special,Mama ga Ikita Akashi,9639
29263,Japan,2013,Drama,Nanatsu no Kaigi,6916
29264,Japan,2011,Drama,Pandora III: Kakumei Zenya,8681
29265,Japan,2015,Drama,Shi no Zouki,12020
29266,Japan,2005,Drama Special,Taika no Kaishin,12887
29267,Japan,2017,Drama Special,Temisu no Tsurugi,18305
29268,Japan,2005,Drama Special,Ultraman Nexus Episode EX: Shiori - Lost Memories,39054
29287,Japan,2018,TV Show,YG TV: Love Winner,43052
29293,Japan,1999,Drama,Abunai Hokago ,3141
29294,Japan,2003,Drama,Engimono: Kuru ga Mama,9774
29295,Japan,1997,Drama Special,Hakusen Nagashi 19 no Haru,20126
29296,Japan,1998,Drama,Hitsuyou no nai Hito,14364
29297,Japan,2000,Movie,Nagisa,19450
29298,Japan,2022,Drama Special,Nishimura Kyotaro Travel Mystery Final,49690
29299,Japan,1943,Movie,Sanshiro Sugata,6458
29300,Japan,1974,Movie,The Dancing Girl of Izu,9170
29301,Japan,1983,Movie,The Geisha,12371
29302,Japan,2023,Drama,Watashi tte Sabasaba shiteru kara,48958
29303,Japan,1996,Drama,Age 35 Koishikute,6719
29305,Japan,1997,Drama,Otona no Otoko,7485
29306,Japan,2005,Movie,A Stranger of Mine,7542
29307,Japan,2016,Drama,"OL Desu Ga, Kyabajo Hajimemashita",14434
29309,Japan,1974,Movie,Sister Street Fighter,6986
29310,Japan,2001,Drama,Wednesday Love Affair ,4972
29323,Japan,2012,Movie,Birthright,13741
29324,Japan,2014,Movie,Danger Dolls,10446
29325,Japan,2007,Movie,Kuro-obi,3711
29326,Japan,2005,Movie,Lorelei: The Witch of the Pacific Ocean,3779
29327,Japan,2012,Drama Special,The Gold Case,13031
29328,Japan,2011,Movie,The Kunoichi: Ninja Girl,5121
29329,Japan,2015,Movie,Yarukkya Knight,11853
29350,Japan,2015,Movie,Crossroads,12735
29356,Japan,2003,Movie,Ambiguous,13329
29377,Japan,2021,Drama,Tokyo MER: Hashiranai Kinkyuukyuumeishitsu,42272
29381,Japan,2013,Drama,Joshikou Keisatsu,10609
29382,Japan,2009,TV Show,School Kakumei!,19896
29383,Japan,2012,Movie,Aoi no Tegami,5722
29384,Japan,2008,Drama,Fujoshi Deka,2017
29385,Japan,2014,TV Show,Gamushara!,29734
29386,Japan,2012,TV Show,HaKaTa Hyakkaten Season 1,23357
29387,Japan,2013,TV Show,HaKaTa Hyakkaten Season 2,23360
29388,Japan,2015,TV Show,HaKaTa Hyakkaten Season 3,23361
29389,Japan,2012,TV Show,J'J Hey!Say!JUMP Takaki Yuya ＆Chinen Yuri: Alone Trip To Cross France On Local Trains,28016
29390,Japan,2014,TV Show,Sexy Zone CHANNEL,20986
29391,Japan,2011,TV Show,Yan Yan JUMP,19900
29394,Japan,2019,Movie,"Soshite, Ikiru: The Movie",32480
29405,Japan,2022,Movie,The World for Two of Us,43419
29412,Japan,2022,Drama,Owaraseru Mono,48785
29433,Japan,2006,Movie,Mobile Detective: The Movie,10056
29447,Japan,2017,Movie,Kimi no Hitomi ni Hanataba wo,28452
29457,Japan,2014,Movie,Glass Onions,30646
29471,Japan,2015,Movie,Tamago,26769
29472,Japan,2018,Drama,Tasogare Ryuuseigun,22930
29474,Japan,1958,Movie,The Boy Who Came Back,26748
29481,Japan,2007,Drama,ChocoMimi,17405
29486,Japan,2019,Movie,"Kimi to, Tsuredure",33554
29495,Japan,2014,Drama,"Watashitachi ga Puropozusarenai no ni wa, 101 no Riyuu ga Atte da na",10423
29521,Japan,2023,Drama,Kashimashi Meshi,50267
29528,Japan,2005,Movie,All About My Dog,18424
